IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
103.160.204.10,443,TRUE,??香港,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",186.41,77.91
103.160.204.11,443,TRUE,??香港,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",169.66,17.59
103.160.204.121,443,TRUE,??香港,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",170.1,16.13
103.160.204.15,443,TRUE,??香港,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",193.8,44.08
103.160.204.246,443,TRUE,??香港,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",191.33,16.14
103.160.204.3,443,TRUE,??香港,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",186.1,80.39
103.160.204.4,443,TRUE,??香港,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",195.41,20.8
103.160.204.5,443,TRUE,??香港,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",196.01,19.54
103.160.204.6,443,TRUE,??香港,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",170.74,35.61
103.160.204.7,443,TRUE,??香港,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",192.24,17.79
103.160.204.8,443,TRUE,??香港,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",169.09,56
